UnitID,Institution Name,Published in-state tuition and fees 2017-18 (IC2017_AY),Published out-of-state tuition and fees 2017-18 (IC2017_AY),Books and supplies 2017-18 (IC2017_AY),On campus  room and board 2017-18 (IC2017_AY),On campus  other expenses 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published out-of-state tuition and fees 2016-17 (IC2016_AY),Books and supplies 2016-17 (IC2016_AY),On campus  room and board 2016-17 (IC2016_AY),On campus  other expenses 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published out-of-state tuition and fees 2015-16 (IC2015_AY),Books and supplies 2015-16 (IC2015_AY),On campus  room and board 2015-16 (IC2015_AY),On campus  other expenses 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published out-of-state tuition and fees 2014-15 (IC2014_AY),Books and supplies 2014-15 (IC2014_AY),On campus  room and board 2014-15 (IC2014_AY),On campus  other expenses 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published out-of-state tuition and fees 2013-14 (IC2013_AY),Books and supplies 2013-14 (IC2013_AY),On campus  room and board 2013-14 (IC2013_AY),On campus  other expenses 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Published out-of-state tuition and fees 2012-13 (IC2012_AY),Books and supplies 2012-13 (IC2012_AY),On campus  room and board 2012-13 (IC2012_AY),On campus  other expenses 2012-13 (IC2012_AY),Published in-state tuition and fees 2011-12 (IC2011_AY),Published out-of-state tuition and fees 2011-12 (IC2011_AY),Books and supplies 2011-12 (IC2011_AY),On campus  room and board 2011-12 (IC2011_AY),On campus  other expenses 2011-12 (IC2011_AY),Published in-state tuition and fees 2010-11 (IC2010_AY),Published out-of-state tuition and fees 2010-11 (IC2010_AY),Books and supplies 2010-11 (IC2010_AY),On campus  room and board 2010-11 (IC2010_AY),On campus  other expenses 2010-11 (IC2010_AY)
221838,Tennessee State University,7776,21132,2500,7500,3500,7256,19976,2300,7320,3345,7112,19832,2100,6910,3345,6930,19650,2100,6702,3332,6498,19218,1985,6310,2900,6426,18954,1985,6120,2900,6088,18616,1800,5910,2800,5704,18232,1800,5760,2400
221847,Tennessee Technological University,8513,24377,2300,9400,6300,8203,24067,2300,8750,6000,8011,23443,2000,8200,6300,7679,22679,2200,8400,5850,7063,22063,2200,8300,5400,6692,20852,2180,8140,4350,6406,20038,2030,7940,4050,5828,18356,1700,7680,3640
228723,Texas A & M University-College Station,11234,36606,1054,10368,5820,11036,31214,1054,10368,5820,10176,28768,1194,10338,3064,9685,26583,1000,9522,2768,8506,25126,1246,8450,2849,8506,25035,1272,8400,2734,8421,23811,1340,8200,2762,8387,22817,1350,8008,2776
100751,The University of Alabama,10780,28100,1200,13324,4120,10470,26950,1200,13050,4116,10170,25950,1200,12880,4172,9826,24950,1200,12716,3463,9450,23950,1200,13156,3194,9200,22950,1100,12450,3967,8600,21900,1100,10781,3458,7900,20500,1100,10206,2475
221740,The University of Tennessee-Chattanooga,8664,24782,1400,9100,3600,8544,24662,1400,9100,3600,8356,24474,1400,9100,3600,8138,24256,1400,9000,3280,7554,22760,1400,8290,3286,7212,21558,1400,8300,3165,6718,20252,1400,8250,3142,6062,18376,1400,8290,3122
221759,The University of Tennessee-Knoxville,12970,31390,1598,10696,5666,12724,31144,1598,10238,5666,12436,30856,1598,9926,5666,11876,30326,1582,10296,5666,11194,29684,1536,9170,5550,9092,27582,1492,8752,5410,8396,25538,1448,8480,5247,7382,22720,1406,7800,5473
221768,The University of Tennessee-Martin,9236,14996,1250,5976,3744,9088,14848,1400,5788,4170,8326,22270,1400,5896,3788,8024,21968,1600,5786,3734,7507,21451,1600,5710,3692,7049,20205,1600,5594,3650,6716,19126,1500,5424,3564,6190,18600,1500,5104,3508
228778,The University of Texas at Austin,10398,36744,662,10070,4310,10092,35682,662,10070,4310,9806,34676,750,11456,4310,9830,34836,750,11456,4310,9798,33842,750,11362,4246,9790,33128,904,10946,3752,9794,32506,874,10422,3624,9418,31218,874,10112,3624
196088,University at Buffalo,9828,27068,1177,12477,2676,9574,26814,1196,12292,2427,9381,24461,1196,12761,2380,8870,22290,1164,12400,2481,8211,20151,1164,11567,2374,7989,18609,1034,11310,1994,7482,16932,1004,10728,1937,7136,15546,1004,10028,1907
104179,University of Arizona,11877,35307,800,12300,3300,11769,34967,800,11300,3300,11403,32630,1200,9840,3300,10957,29421,1200,9700,3300,10391,27383,1000,9714,4074,10035,26231,1000,9714,3980,9286,25496,1000,8540,3540,8237,24597,1000,9023,4120
106397,University of Arkansas,9062,24308,1046,10704,4104,8820,23168,1046,10332,4104,8522,21826,1000,9880,4104,8210,20300,1400,9454,4002,7818,19074,1380,9042,3972,7554,18434,1278,8672,3968,7174,17606,1214,8330,3746,6768,16000,1162,8042,3518
110635,University of California-Berkeley,14170,42184,891,17549,4379,13509,40191,1262,16389,5209,13431,38139,1241,15847,4736,12972,35850,1229,15830,4325,12864,35742,1226,15482,3747,12874,35752,1213,15304,3497,12834,35712,1202,15272,3324,10940,33819,1315,15317,3482
110644,University of California-Davis,14419,42433,1253,16136,3921,14046,40728,1601,14838,4482,13951,38659,1576,14571,4279,13896,36774,1560,14316,3987,13895,36773,1620,13961,3590,13877,36755,1602,13503,3186,13860,36738,1589,12697,3053,11958,34837,1601,12498,3240
110653,University of California-Irvine,13738,41752,1357,14861,3902,13360,40042,1766,13429,4375,13252,37960,1749,12947,4154,13179,36057,1732,12638,4028,13149,36027,1583,12073,3699,13122,36000,1567,11706,3633,13122,36000,1553,11611,3139,11232,34111,1661,11400,3772
110662,University of California-Los Angeles,13261,41275,1171,15441,4028,12920,39602,1636,15069,4431,12763,37471,1611,14832,4185,12705,35583,1598,14511,4164,12697,35575,1536,14453,3730,12692,35570,1521,14232,3487,12686,35564,1509,13979,3382,10781,33660,1608,13743,3488
110671,University of California-Riverside,13917,41931,1316,15542,3888,13581,40263,1716,14607,4487,13527,38235,1690,13800,4468,13407,36285,1672,13381,4179,12960,35838,1802,13509,3967,12960,35838,1784,13240,3613,12924,35802,1766,12093,3552,11029,33908,1788,11699,3864
110680,University of California-San Diego,14018,42032,1198,13115,3832,13645,40327,1541,12545,4508,13530,38238,1516,12071,4349,13427,36305,1509,12254,4064,13271,36149,1489,11978,3732,13217,36095,1474,11923,3414,13200,36078,1456,11684,3166,11306,34185,1573,11534,3546
110705,University of California-Santa Barbara,14451,42465,1143,15169,5348,14073,40755,1431,14015,5653,13968,38676,1403,14594,5238,13865,36743,1391,14523,4974,13746,36624,1444,14115,4746,13671,36549,1428,13275,3693,13595,36473,1414,13110,3572,11686,34565,1606,13113,3936
126614,University of Colorado Boulder,12086,36220,1800,13998,2294,11531,35079,1800,13590,2294,11091,34125,1800,13194,5308,10789,33151,1800,12810,4626,10347,32115,1800,12258,4482,9482,31378,1800,11730,4842,9152,30330,1992,11278,4814,8511,29493,1748,10792,4696
129020,University of Connecticut,14880,36948,850,12514,2800,14066,35858,850,12436,2650,13366,34908,850,12436,2650,12700,32880,850,12074,2650,12022,30970,850,11722,2650,11242,29074,850,11380,2650,10670,27566,850,11050,2650,10416,26880,800,10782,2740
130943,University of Delaware,13160,33150,800,12332,1500,12830,32250,800,12068,1500,12520,31420,800,11830,1500,12342,30692,800,11558,1500,12112,29932,800,11200,1500,11682,28772,800,10758,1500,11192,27462,800,10196,1500,10208,25408,800,9894,1500
134130,University of Florida,6381,28659,1210,9910,3630,6381,28659,1210,9910,3750,6381,28659,1300,9650,3330,6313,28591,1290,9630,3320,6263,28541,1080,9520,2240,6143,28420,1080,9370,3420,5657,27934,1070,8800,3730,5044,27321,1000,8640,3190
139959,University of Georgia,11818,30392,986,10060,3540,11634,29844,1006,9616,3952,11622,29832,840,9450,3222,10836,29046,800,9246,1798,10262,28472,916,9246,1640,9842,28052,848,8970,1590,9472,27682,1078,8708,1562,8736,26946,1030,8460,1510
145637,University of Illinois at Urbana-Champaign,15074,31194,1200,11308,2500,15058,30680,1200,11306,2500,15054,30214,1200,11010,2500,15020,29646,1200,10848,2500,14750,29132,1200,10636,2500,14522,28664,1200,10332,2510,13838,27980,1200,10080,2510,13096,27238,1200,9714,2528
153658,University of Iowa,8965,30609,950,10450,2242,8575,28813,950,10108,2242,8104,27890,1240,9728,1938,8079,27409,1040,9614,2128,8061,26931,1040,9424,2166,8057,26279,1090,9170,3515,7765,25099,1090,8750,3515,7417,23713,1090,8331,3515
155317,University of Kansas,10824,26592,1080,10276,3126,11455,28239,1080,9610,3070,10825,26659,1040,9176,3076,10448,25731,950,9138,3586,10107,24873,900,7702,3568,9678,23748,900,7258,3498,9222,22608,850,7436,4294,8733,21538,800,7070,4226
157085,University of Kentucky,11942,28046,1000,12858,3730,11484,26334,1000,12184,3260,10936,24268,1000,11434,3330,10616,22888,1000,10506,3208,10110,21192,1000,10328,2294,9676,19864,800,10200,2284,9128,18740,800,10000,2240,8610,17678,800,9440,2226
163286,University of Maryland-College Park,10399,33606,1250,12402,2440,10181,32045,1200,12078,2604,9996,31144,1130,11521,2490,9427,29720,1130,10633,3162,9162,28348,1130,10280,3162,8908,27287,1130,10146,3162,8655,26026,1076,9877,3024,8416,24831,1025,9798,3024
166629,University of Massachusetts-Amherst,15411,33477,1000,12258,1400,14971,32204,1000,11897,1400,14171,30504,1000,11503,1400,13443,28998,1000,10957,1400,13443,28159,1000,10439,1400,13415,26830,1000,9937,1400,12797,25585,1000,9512,1400,11917,23813,1000,8610,1400
220862,University of Memphis,9317,21029,1415,9366,4562,9125,20837,1415,9153,4512,8903,20615,1415,9061,4467,8619,20331,1415,8976,5180,8312,23024,1395,8716,5112,7904,22616,1375,8498,5036,7390,22102,1350,8330,4746,6780,20148,1300,8005,4489
170976,University of Michigan-Ann Arbor,14826,47476,1048,11198,2454,14402,45410,1048,10872,2454,13856,43476,1048,10554,2354,13486,41906,1048,10246,2204,13142,40392,1048,9996,2054,12994,39122,1048,9752,2054,12634,37782,1048,9468,2054,11837,36001,1048,9192,2090
174066,University of Minnesota-Twin Cities,14417,26603,1000,9852,2200,14142,23806,1000,9377,2200,13790,22210,1000,9314,2200,13560,20810,1000,8920,2194,13555,19805,1000,8532,2194,13459,18709,1000,8412,2194,13022,18022,1000,7834,2194,12288,16588,1000,7576,2194
176017,University of Mississippi,8300,23564,1200,10502,4820,7744,22012,1200,10002,4660,7444,20674,1200,10128,4600,7096,19144,1200,9908,4500,6760,17728,1200,9566,4918,6282,16266,1200,9200,4844,5790,14796,1200,8390,4472,5436,13890,1200,8158,4416
178396,University of Missouri-Columbia,9787,26506,1372,10676,4776,9518,25892,1344,10298,4756,9509,25166,1124,9808,3742,9433,24460,1114,9386,3664,9415,23764,946,9286,3296,9257,23366,930,8944,3256,8989,21784,1086,8643,3156,8501,20516,1070,8607,3110
181464,University of Nebraska-Lincoln,8978,24098,1070,11044,3970,8537,23058,1012,10826,3870,8367,22534,1070,10310,3630,8170,22090,1050,9962,3604,8060,21388,1050,9532,3604,7984,20734,1050,9122,3544,7563,19848,1020,8196,3422,7224,18924,1010,7660,3368
199120,University of North Carolina at Chapel Hill,9005,34588,1604,11556,3404,8834,33916,1442,11218,3404,8591,33673,1442,10902,3414,8336,33418,1484,10592,5238,8340,30122,1328,10008,4348,7693,28445,1182,9734,4486,7009,26834,1150,9470,3686,6665,25280,1028,9306,3306
207500,University of Oklahoma-Norman Campus,11538,26919,645,10588,5612,10881,25203,714,10280,5433,10090,23476,714,9742,4614,9495,22269,720,9126,4614,8916,21105,848,8718,4959,8706,20343,1200,8382,5002,8325,19278,1043,8060,5065,7864,18295,1030,7826,3988
209551,University of Oregon,11931,34611,1125,11450,2356,10761,33441,1122,11583,2349,10289,32024,1068,11430,2382,9918,30888,1050,11097,2340,9763,29788,1050,11109,2430,9310,28660,1050,10580,2430,8789,27653,1050,9801,2412,8190,25830,1050,9144,2412
215293,University of Pittsburgh-Pittsburgh Campus,19080,30642,773,10950,2447,18618,29758,680,10950,2534,18192,28958,762,10900,1842,17772,28168,1170,10800,3222,17100,27106,1152,10700,3174,16590,26280,1132,9870,3122,16132,25540,1110,9430,3060,14936,24592,1076,9230,2970
218663,University of South Carolina-Columbia,11862,31962,1044,10008,4148,11454,30882,1023,9700,4111,11482,30298,1016,9872,4201,11158,29440,1008,9248,4151,10816,28528,994,8909,4085,10488,27644,978,8459,3950,10168,26352,950,8026,3920,9786,25362,936,7764,3720
230764,University of Utah,8884,28127,1232,9867,3690,8518,27039,1232,9406,3678,8197,26022,1006,9000,3574,7835,25057,1280,8528,5094,7457,23736,1000,8297,5166,7139,22642,996,7705,6474,6762,21388,1068,7248,6904,6272,19840,1090,6990,5832
234076,University of Virginia-Main Campus,16853,47273,1320,11220,2820,16412,45756,1294,10726,2754,15192,44365,1270,10400,2710,13208,42394,1260,10052,2490,12668,40054,1240,9717,2450,12216,38228,1220,9419,2470,11786,36780,1184,9036,1980,10828,33774,1167,8590,1950
236948,University of Washington-Seattle Campus,10974,35538,825,12117,2679,10753,34791,825,11691,2679,11839,34143,1206,11310,2679,12394,33513,1206,10833,2265,12397,31971,1206,10752,2679,12383,29938,1035,9969,2679,10574,28058,1035,9771,2679,8701,25329,1035,9399,2907
240444,University of Wisconsin-Madison,10533,34783,1200,10842,3060,10488,32738,1200,10446,3096,10415,29665,1200,8804,4254,10410,26660,1200,8546,4238,10403,26653,1200,8287,4041,10378,26628,1190,8024,4170,9665,25415,1140,7724,3920,8983,24233,1100,7435,3740
221999,Vanderbilt University,47664,47664,1294,15584,2850,45610,45610,1294,14962,2788,44712,44712,1370,14670,2780,43838,43838,1370,14382,2730,42978,42978,1370,14094,2670,42118,42118,1370,13818,2584,41332,41332,1344,13560,2318,39930,39930,1344,13058,2302
233921,Virginia Polytechnic Institute and State University,13230,31014,1150,8920,2940,12852,29975,1210,8720,2980,12485,29129,1150,8290,2930,12017,28048,1130,8270,4420,11455,27211,1120,8170,5420,10923,25915,1100,8000,5490,10509,24480,1080,7080,5200,9459,23217,1100,7000,4900
