UnitID,Institution Name,ACT Composite 25th percentile score (ADM2016),ACT Composite 75th percentile score (ADM2016),ACT Composite 25th percentile score (ADM2015),ACT Composite 75th percentile score (ADM2015),ACT Composite 25th percentile score (ADM2014),ACT Composite 75th percentile score (ADM2014),ACT Composite 25th percentile score (IC2013),ACT Composite 75th percentile score (IC2013),ACT Composite 25th percentile score (IC2012),ACT Composite 75th percentile score (IC2012),ACT Composite 25th percentile score (IC2011),ACT Composite 75th percentile score (IC2011),ACT Composite 25th percentile score (IC2010),ACT Composite 75th percentile score (IC2010)
110662,University of California-Los Angeles,28,33,28,33,27,33,25,31,25,31,25,31,24,31
110671,University of California-Riverside,21,27,23,28,22,27,20,25,19,25,19,24,19,25
110680,University of California-San Diego,27,33,28,33,27,32,25,31,23,30,25,31,24,30
110705,University of California-Santa Barbara,27,32,26,31,26,31,24,29,24,30,24,29,23,29
126614,University of Colorado Boulder,25,30,24,30,24,30,24,29,23,28,24,28,23,28
129020,University of Connecticut,26,31,26,31,26,30,25,30,26,30,25,29,25,29
130943,University of Delaware,22,29,24,29,24,29,24,29,24,28,24,28,24,29
134130,University of Florida,27,31,27,31,26,31,26,31,26,31,24,30,26,30
139959,University of Georgia,26,31,26,30,26,30,26,30,25,30,25,29,25,29
145637,University of Illinois at Urbana-Champaign,26,32,26,31,26,32,26,31,26,31,26,31,26,31
153658,University of Iowa,23,28,23,28,23,28,25,28,22,28,23,28,23,28
155317,University of Kansas,23,29,22,28,22,28,22,28,22,28,22,28,22,27
157085,University of Kentucky,22,29,22,28,22,28,22,28,23,28,22,28,22,28
163286,University of Maryland-College Park,29,33,,,,,,,,,,,,
166629,University of Massachusetts-Amherst,25,30,25,30,24,30,24,29,24,28,24,28,23,28
220862,University of Memphis,18,25,19,25,19,25,19,25,20,25,19,25,18,24
170976,University of Michigan-Ann Arbor,29,33,29,33,29,33,28,32,28,32,29,33,27,31
174066,University of Minnesota-Twin Cities,26,31,26,31,26,30,26,30,25,30,25,30,25,30
176017,University of Mississippi,22,29,21,28,21,27,21,27,21,27,20,27,20,27
178396,University of Missouri-Columbia,23,29,24,29,23,28,23,28,23,28,23,28,23,28
181464,University of Nebraska-Lincoln,22,28,22,28,22,28,22,28,22,29,22,28,22,28
199120,University of North Carolina at Chapel Hill,28,33,28,33,28,32,28,32,27,32,27,31,26,31
207500,University of Oklahoma-Norman Campus,23,29,24,29,23,29,23,29,23,29,23,29,23,29
209551,University of Oregon,22,27,22,27,22,27,22,27,21,27,22,27,21,27
215293,University of Pittsburgh-Pittsburgh Campus,27,32,26,31,26,31,26,30,25,30,25,30,25,30
218663,University of South Carolina-Columbia,25,30,25,30,25,29,24,29,24,29,24,29,24,29
230764,University of Utah,21,27,21,28,21,28,21,27,21,27,21,27,21,27
234076,University of Virginia-Main Campus,29,33,29,33,28,33,29,33,28,32,28,32,28,32
236948,University of Washington-Seattle Campus,26,32,26,31,25,31,25,30,24,30,24,30,24,30
240444,University of Wisconsin-Madison,27,31,27,31,26,31,26,30,26,30,26,30,26,30
221999,Vanderbilt University,32,35,32,35,32,34,32,34,32,34,31,34,30,34
233921,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,25,29
