"UnitID","Institution Name","ACT_25th_2016","ACT_75th_2016","ACT_25th_2015","ACT_75th_2015","ACT_25th_2014","ACT_75th_2014","ACT_25th_2013","ACT_75th_2013","ACT_25th_2012","ACT_75th_2012","ACT_25th_2011","ACT_75th_2011","ACT_25th_2010","ACT_75th_2010","ACT_MidRange_2016","ACT_MidRange_2015","ACT_MidRange_2014","ACT_MidRange_2013","ACT_MidRange_2012","ACT_MidRange_2011","ACT_MidRange_2010"
243780,"Purdue University-Main Campus",25,31,25,31,24,30,24,30,24,30,24,30,23,29,28,28,27,27,27,27,26
186380,"Rutgers University-New Brunswick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196097,"Stony Brook University",26,31,26,31,26,30,26,30,25,29,25,29,25,29,28.5,28.5,28,28,27,27,27
221838,"Tennessee State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221847,"Tennessee Technological University",21,27,21,27,21,27,20,26,21,26,20,26,20,26,24,24,24,23,23.5,23,23
228723,"Texas A & M University-College Station",24,30,25,30,24,30,23,29,24,30,24,30,24,30,27,27.5,27,26,27,27,27
100751,"The University of Alabama",23,31,22,31,22,31,22,30,22,30,22,29,22,29,27,26.5,26.5,26,26,25.5,25.5
221740,"The University of Tennessee-Chattanooga",21,26,21,26,21,26,21,25,21,25,21,25,21,25,23.5,23.5,23.5,23,23,23,23
221759,"The University of Tennessee-Knoxville",24,30,24,30,24,29,24,29,24,29,24,29,24,29,27,27,26.5,26.5,26.5,26.5,26.5
221768,"The University of Tennessee-Martin",20,25,20,25,20,25,20,25,19,24,20,24,20,24,22.5,22.5,22.5,22.5,21.5,22,22
228778,"The University of Texas at Austin",26,32,26,32,26,32,25,31,25,31,25,31,25,31,29,29,29,28,28,28,28
196088,"University at Buffalo",24,29,24,29,24,29,23,28,24,28,23,28,23,28,26.5,26.5,26.5,25.5,26,25.5,25.5
104179,"University of Arizona",NA,NA,NA,NA,NA,NA,21,27,21,27,NA,NA,21,27,NA,NA,NA,24,24,NA,24
106397,"University of Arkansas",23,29,23,28,23,28,23,28,23,28,23,28,23,28,26,25.5,25.5,25.5,25.5,25.5,25.5
110635,"University of California-Berkeley",31,34,30,34,29,34,27,33,27,33,27,32,26,32,32.5,32,31.5,30,30,29.5,29
110644,"University of California-Davis",25,31,25,31,25,31,23,29,23,30,23,29,23,29,28,28,28,26,26.5,26,26
110653,"University of California-Irvine",24,30,24,29,23,29,21,27,21,27,23,28,23,28,27,26.5,26,24,24,25.5,25.5
110662,"University of California-Los Angeles",28,33,28,33,27,33,25,31,25,31,25,31,24,31,30.5,30.5,30,28,28,28,27.5
110671,"University of California-Riverside",21,27,23,28,22,27,20,25,19,25,19,24,19,25,24,25.5,24.5,22.5,22,21.5,22
110680,"University of California-San Diego",27,33,28,33,27,32,25,31,23,30,25,31,24,30,30,30.5,29.5,28,26.5,28,27
110705,"University of California-Santa Barbara",27,32,26,31,26,31,24,29,24,30,24,29,23,29,29.5,28.5,28.5,26.5,27,26.5,26
126614,"University of Colorado Boulder",25,30,24,30,24,30,24,29,23,28,24,28,23,28,27.5,27,27,26.5,25.5,26,25.5
129020,"University of Connecticut",26,31,26,31,26,30,25,30,26,30,25,29,25,29,28.5,28.5,28,27.5,28,27,27
130943,"University of Delaware",22,29,24,29,24,29,24,29,24,28,24,28,24,29,25.5,26.5,26.5,26.5,26,26,26.5
134130,"University of Florida",27,31,27,31,26,31,26,31,26,31,24,30,26,30,29,29,28.5,28.5,28.5,27,28
139959,"University of Georgia",26,31,26,30,26,30,26,30,25,30,25,29,25,29,28.5,28,28,28,27.5,27,27
145637,"University of Illinois at Urbana-Champaign",26,32,26,31,26,32,26,31,26,31,26,31,26,31,29,28.5,29,28.5,28.5,28.5,28.5
153658,"University of Iowa",23,28,23,28,23,28,25,28,22,28,23,28,23,28,25.5,25.5,25.5,26.5,25,25.5,25.5
155317,"University of Kansas",23,29,22,28,22,28,22,28,22,28,22,28,22,27,26,25,25,25,25,25,24.5
157085,"University of Kentucky",22,29,22,28,22,28,22,28,23,28,22,28,22,28,25.5,25,25,25,25.5,25,25
163286,"University of Maryland-College Park",29,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA
166629,"University of Massachusetts-Amherst",25,30,25,30,24,30,24,29,24,28,24,28,23,28,27.5,27.5,27,26.5,26,26,25.5
220862,"University of Memphis",18,25,19,25,19,25,19,25,20,25,19,25,18,24,21.5,22,22,22,22.5,22,21
170976,"University of Michigan-Ann Arbor",29,33,29,33,29,33,28,32,28,32,29,33,27,31,31,31,31,30,30,31,29
174066,"University of Minnesota-Twin Cities",26,31,26,31,26,30,26,30,25,30,25,30,25,30,28.5,28.5,28,28,27.5,27.5,27.5
176017,"University of Mississippi",22,29,21,28,21,27,21,27,21,27,20,27,20,27,25.5,24.5,24,24,24,23.5,23.5
178396,"University of Missouri-Columbia",23,29,24,29,23,28,23,28,23,28,23,28,23,28,26,26.5,25.5,25.5,25.5,25.5,25.5
181464,"University of Nebraska-Lincoln",22,28,22,28,22,28,22,28,22,29,22,28,22,28,25,25,25,25,25.5,25,25
