"UnitID","Institution Name","instate_tf_cost_2017","oostate_tf_cost_2017","books_supplies_cost_2017","oc_room_and_board_cost_2017","oc_other_cost_2017","instate_tf_cost_2016","oostate_tf_cost_2016","books_supplies_cost_2016","oc_room_and_board_cost_2016","oc_other_cost_2016","instate_tf_cost_2015","oostate_tf_cost_2015","books_supplies_cost_2015","oc_room_and_board_cost_2015","oc_other_cost_2015","instate_tf_cost_2014","oostate_tf_cost_2014","books_supplies_cost_2014","oc_room_and_board_cost_2014","oc_other_cost_2014","instate_tf_cost_2013","oostate_tf_cost_2013","books_supplies_cost_2013","oc_room_and_board_cost_2013","oc_other_cost_2013","instate_tf_cost_2012","oostate_tf_cost_2012","books_supplies_cost_2012","oc_room_and_board_cost_2012","oc_other_cost_2012","instate_tf_cost_2011","oostate_tf_cost_2011","books_supplies_cost_2011","oc_room_and_board_cost_2011","oc_other_cost_2011","instate_tf_cost_2010","oostate_tf_cost_2010","books_supplies_cost_2010","oc_room_and_board_cost_2010","oc_other_cost_2010","instate_coa_2017","oostate_coa_2017","instate_coa_2016","oostate_coa_2016","instate_coa_2015","oostate_coa_2015","instate_coa_2014","oostate_coa_2014","instate_coa_2013","oostate_coa_2013","instate_coa_2012","oostate_coa_2012","instate_coa_2011","oostate_coa_2011","instate_coa_2010","oostate_coa_2010"
104151,"Arizona State University-Tempe",10792,27372,1125,12209,3404,10370,26470,1103,11386,3404,10158,25458,1081,11061,3404,10157,24503,1060,10010,3404,9861,23654,1040,9782,3154,9724,22977,1020,9094,3163,9720,22319,1290,11436,3102,8132,20596,1290,9706,2796,27530,44110,26263,42363,25704,41004,24631,38977,23837,37630,23001,36254,25548,38147,21924,34388
100858,"Auburn University",10968,29640,1200,13332,5782,10696,28840,1200,12898,5664,10424,28040,1200,12584,5586,10200,27384,1200,12178,5586,9852,26364,1200,11552,2678,9446,25190,1100,10606,2636,8698,23272,1100,9992,2562,7900,21916,1100,9630,2510,31282,49954,30458,48602,29794,47410,29164,46348,25282,41794,23788,39532,22352,36926,21140,35156
219602,"Austin Peay State University",7913,23153,1550,10223,4538,7689,22929,1550,9711,4538,7501,22333,1550,9438,4538,7168,21664,1550,9124,4538,6876,21372,1550,8549,4538,6648,20736,1550,8373,4484,6432,19992,1550,8169,4484,6048,18576,1550,7521,4484,24224,39464,23488,38728,23027,37859,22380,36876,21513,36009,21055,35143,20635,34195,19603,32131
217882,"Clemson University",15116,36058,1346,9592,3520,14708,34590,1308,9144,3502,14272,33190,1308,8718,3522,13446,31462,1138,8358,6208,13054,30488,1112,8142,6194,12674,29600,1098,7914,6496,12304,28462,1090,7228,6004,11908,27376,940,7034,5178,29574,50516,28662,48544,27820,46738,29150,47166,28502,45936,28182,45108,26626,42784,25060,40528
126818,"Colorado State University-Fort Collins",11395,28903,1200,11974,1360,11052,28346,1200,11110,1360,10558,27267,1140,10794,1360,9897,26277,1140,10488,2006,9313,25166,1126,10776,1988,8649,24441,1126,10278,2232,7952,23652,1126,9172,2232,6985,23095,1126,8744,2232,25929,43437,24722,42016,23852,40561,23531,39911,23203,39056,22285,38077,20482,36182,19087,35197
220075,"East Tennessee State University",8679,26463,1090,7952,3585,8341,25573,1090,7952,5700,8153,24977,1090,7952,6500,7667,24011,1090,7822,6570,7249,22561,1090,7752,7516,6715,21355,1090,7860,8056,6271,19831,1090,7338,8056,5823,18351,1090,5783,7596,21306,39090,23083,40315,23695,40519,23149,39493,23607,38919,23721,38361,22755,36315,20292,32820
134097,"Florida State University",5656,18786,1000,10458,4660,6507,21673,1000,10304,4764,6507,21673,1000,10264,4300,6507,21673,1000,10208,3884,6507,21673,1000,9912,4124,6402,21570,1000,9626,3892,5826,20952,1000,9412,4134,5238,19682,1000,8390,4128,21774,34904,22575,37741,22071,37237,21599,36765,21543,36709,20920,36088,20372,35498,18756,33200
139755,"Georgia Institute of Technology-Main Campus",12418,33014,800,11492,4060,12212,32404,800,11148,3260,12204,32396,800,10716,2060,11394,30698,1200,10434,1720,10650,29954,1200,9814,1720,10098,29402,1200,9236,1720,9652,27862,1000,8826,1620,8716,26926,1000,8746,1500,28770,49366,27420,47612,25780,45972,24748,44052,23384,42688,22254,41558,21098,39308,19962,38172
151351,"Indiana University-Bloomington",10533,34845,1034,10258,2602,10388,34246,1290,10041,3090,10388,33741,1230,9795,3126,10388,33241,1500,9493,3036,10209,32350,1500,9149,2962,10033,31483,848,8853,3382,9524,29540,824,8419,3282,9028,27689,812,7918,3232,24427,48739,24809,48667,24539,47892,24417,47270,23820,45961,23116,44566,22049,42065,20990,39651
153603,"Iowa State University",8636,22472,994,8546,2430,8219,21583,995,8356,2430,7736,20856,1034,8070,2430,7731,20617,1043,7830,2430,7726,20278,1043,7721,2430,7726,19838,1043,7721,2430,7486,19358,1044,7621,2370,6997,18563,1014,7472,3438,20606,34442,20000,33364,19270,32390,19034,31920,18920,31472,18920,31032,18521,30393,18921,30487
159391,"Louisiana State University and Agricultural & Mechanical College",11374,28051,1160,11750,5420,10814,27491,1160,11540,5420,9714,26877,1500,11200,3336,8750,26467,1500,10804,3096,7873,25790,1500,10804,3050,6989,22265,1500,10218,3000,6354,19362,1500,8670,2890,5764,16549,1500,8210,2870,29704,46381,28934,45611,25750,42913,24150,41867,23227,41144,21707,36983,19414,32422,18344,29129
