"UnitID","Institution.Name","Name.Abv","instate_tf_cost_2016","instate_coa_2016","oostate_tf_cost_2016","oostate_coa_2016","ug_2016_grand_total","ftf_2016_grand_total","trans_2016_grand_total","ftf_2016_percent","trans_2016_percent","ACT_MidRange_2016","urm_percent_ug_2016","minority_percent_ug_2016","urm_percent_ftf_2016","minority_percent_ftf_2016","retenratt_1styr_2016","gradrate_6yr_2016","percent_instate_2016","percent_oostate_2016","percent_foreign_2016","percent_ftf_pell_2015","percent_ug_pell_2015","State","PEER","ASP","IN.STATE","SEC","PublicPrivate","City"
106397,"University of Arkansas","Arkansas",8820,24302,23168,38650,22548,4972,1361,78.509395231328,21.490604768672,26,12.883626042221,23.6961149547632,12.4094931617056,21.2992759452937,82,62,48.9742558326629,49.9597747385358,1.06596942880129,19,22,"Arkansas","","","","SEC","Public","Fayetteville"
134130,"University of Florida","Florida",6381,21251,28659,43529,34554,6833,1841,78.7756513719161,21.2243486280839,29,27.4411066736123,44.5360884412803,25.0841504463632,44.2997219376555,97,87,83.0967364261671,11.8103322113274,5.09293136250549,25,28,"Florida","","ASP","","SEC","Public","Gainesville"
139959,"University of Georgia","Georgia",11634,26208,29844,44418,27951,5433,1535,77.9707233065442,22.0292766934558,28.5,13.2768058387893,29.8629744910737,13.8597459966869,32.0449107307197,95,84,87.6679550892693,11.1724645683784,1.15958034235229,19,22,"Georgia","","ASP","","SEC","Public","Athens"
157085,"University of Kentucky","Kentucky",11484,27928,26334,42778,22621,5117,897,85.0848021283671,14.9151978716329,25.5,12.2010521197118,24.5612483975067,14.2075434825093,25.561852648036,82,60,61.0513973031073,37.5219855384014,1.4266171584913,24,23,"Kentucky","Peer","","","SEC","Public","Lexington"
220862,"University of Memphis","Memphis",9125,24205,20837,35917,17183,2743,1395,66.2880618656356,33.7119381343644,21.5,41.2558924518419,50.6954548099866,41.9613561793657,53.700328107911,80,44,83.7404301859278,14.8742253007656,1.3853445133066,49,46,"Tennessee","","","In-State","","Public","Memphis"
176017,"University of Mississippi","Ole Miss",7744,23606,22012,37874,19213,3962,1628,70.8765652951699,29.1234347048301,25.5,16.1973663665227,22.8491125800239,15.1438667339727,20.2927814235235,85,61,42.5037859666835,56.2342251388188,1.26198889449773,22,26,"Mississippi","","","","SEC","Public","University"
178396,"University of Missouri-Columbia","Missouri",9518,25916,25892,42290,25877,4772,918,83.8664323374341,16.1335676625659,26,11.4657804227693,21.7219925029949,10.2053646269908,19.9497066219614,86,69,65.8005029337804,31.7686504610226,2.43084660519698,19,20,"Missouri","Peer","","","SEC","Public","Columbia"
181464,"University of Nebraska-Lincoln","Neb-Lincoln",8537,24245,23058,38766,20833,4860,905,84.3018213356461,15.6981786643539,25,8.52973647578361,24.0339845437527,10.3086419753086,24.4238683127572,82,67,70.0617283950617,23.641975308642,6.2962962962963,25,21,"Nebraska","Peer","","","","Public","Lincoln"
218663,"University of South Carolina-Columbia","South Carolina",11454,26288,30882,45716,25556,5110,1963,72.2465714689665,27.7534285310335,27.5,13.3667240569729,23.9395836594146,9.25636007827789,17.9060665362035,88,73,46.7906066536204,51.5655577299413,1.64383561643836,17,22,"South Carolina","Peer","","","SEC","Public","Columbia"
221999,"Vanderbilt University","Vanderbilt ",45610,64654,45610,64654,6871,1601,218,88.0153930731171,11.9846069268829,33.5,18.3670499199534,48.5955464997817,21.1118051217989,52.5921299188008,97,93,8.30730793254216,83.4478450968145,8.24484697064335,14,14,"Tennessee","","","In-State","SEC","Private","Nashville"
